date,nft_sales,omi_nft,omi_volume,gem_buys,omi_gem
2026-03-07,217,1769216.84,90230058.84,0,0.0
2026-03-08,113,661103.34,33716270.34,0,0.0
2026-03-09,23,153168.74,7811605.74,0,0.0
2026-03-13,60,153985.98,7853284.98,0,0.0
2026-03-14,367,3178108.72,162083544.72,0,0.0
2026-03-15,273,1347054.36,68699772.36,0,0.0
2026-03-16,163,1655367.16,84423725.16,0,0.0
2026-03-17,174,889282.72,45353418.72,0,0.0
2026-03-18,185,1418224.0,72329424.0,0,0.0
2026-03-19,259,1200880.5,61244905.5,0,0.0
2026-03-20,330,4691740.3,239278755.3,0,0.0
2026-03-21,314,1239318.94,63205265.94,0,0.0
2026-03-22,256,1725737.32,88012603.32,0,0.0
2026-03-23,223,1112533.66,56739216.66,0,0.0
2026-03-24,214,3052834.34,155694551.34,0,0.0
2026-03-25,197,1029980.26,53087953.26,0,0.0
2026-03-26,280,1304358.88,66522302.88,0,0.0
2026-03-27,201,2013494.6,102688224.6,0,0.0
2026-03-28,205,1061559.26,54139522.26,0,0.0
2026-03-29,335,1876786.72,95716122.72,0,0.0
2026-03-30,279,3505197.08,178765051.08,0,0.0
2026-03-31,225,951813.36,48542481.36,0,0.0
2026-04-01,252,849415.92,43320211.92,0,0.0
2026-04-02,202,1384359.54,70602336.54,0,0.0
2026-04-03,249,1734327.04,88450679.04,0,0.0
2026-04-04,284,3019850.78,154012389.78,0,0.0
2026-04-05,173,1703383.26,86872546.26,0,0.0
2026-04-06,177,1469966.78,74968305.78,0,0.0
2026-04-07,132,2413843.54,123106020.54,0,0.0
2026-04-08,159,1207255.24,61570017.24,0,0.0
2026-04-09,170,854290.38,43568809.38,0,0.0
2026-04-10,90,846607.04,43176959.04,0,0.0
2026-04-11,110,920672.46,46954295.46,0,0.0
2026-04-12,107,1411965.74,72010252.74,0,0.0
2026-04-13,147,1688352.46,86105975.46,0,0.0
2026-04-14,137,1198490.72,61123026.72,0,0.0
2026-04-15,161,2161532.92,110238178.92,0,0.0
2026-04-16,155,1445275.86,73709068.86,0,0.0
