date_pt,transferts,wallets_actifs,paiements_user,payeurs_uniques,omi_user,paiements_agrege,omi_agrege,omi_revenue,paiements_tresorerie,omi_tresorerie
2019-05-09,1,1,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-10,3,3,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-12,1,2,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-13,3,4,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-14,86,83,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-15,66,44,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-16,266,148,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-17,177,146,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-18,102,105,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-19,124,113,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-20,80,75,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-21,77,76,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-22,64,71,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-23,59,65,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-24,24,24,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-25,27,26,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-26,27,27,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-27,36,43,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-28,27,31,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-29,47,52,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-30,659,214,0,0,0.0,0,0.0,0.0,0,0.0
2019-05-31,434,194,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-01,697,249,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-02,490,229,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-03,251,164,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-04,81,68,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-05,154,112,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-06,39,39,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-07,93,74,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-08,28,34,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-09,123,65,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-10,313,146,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-11,201,135,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-12,180,126,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-13,28,28,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-14,87,76,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-15,74,60,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-16,125,75,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-17,36,38,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-18,88,72,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-19,171,133,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-20,146,74,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-21,161,107,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-22,31,39,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-23,95,73,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-24,150,105,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-25,88,80,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-26,148,149,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-27,84,99,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-28,105,87,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-29,19,22,0,0,0.0,0,0.0,0.0,0,0.0
2019-06-30,26,25,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-01,13,13,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-02,15,16,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-03,48,50,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-04,14,19,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-05,3,4,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-06,114,70,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-07,64,55,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-08,81,62,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-09,31,35,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-10,48,40,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-11,24,23,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-12,202,129,0,0,0.0,0,0.0,0.0,0,0.0
2019-07-13,32,30,0,0,0.0,0,0.0,0.0,0,0.0
